Context,Horizon,AUROC,AUPRC,Best_Threshold,Best_TPR,Best_FPR,Precision_at_Best,Recall_at_Best,F1_at_Best
256,1,0.7047128927410617,0.09880436656898503,0.05758049296490443,0.7461538461538462,0.4476232394366197,0.045518535898639134,0.7461538461538462,0.08580274214949138
256,10,0.7818729685807151,0.214048814429343,0.10550035870664047,0.8769230769230769,0.46963028169014087,0.050711743772241996,0.8769230769230769,0.095878889823381
256,20,0.811457204767064,0.2784549020033563,1.1370203565401373,0.6461538461538462,0.08846830985915492,0.1728395061728395,0.6461538461538462,0.2727272727272727
512,1,0.7022226607347877,0.10523483236839282,0.06046627906792673,0.6846153846153846,0.39015858208955223,0.05051078320090806,0.6846153846153846,0.09408033826638477
512,10,0.7788820321469575,0.23195893901757103,0.08197548983459542,0.9076923076923077,0.5228544776119403,0.05,0.9076923076923077,0.09477911646586346
512,20,0.8105912743972445,0.28201250735283284,1.1384001588783819,0.6307692307692307,0.08325559701492537,0.1867881548974943,0.6307692307692307,0.28822495606326887
