Recall,Precision
1.0,1.0
0.9960612691466083,1.0
0.9956236323851203,1.0
0.9951859956236324,1.0
0.9947483588621444,1.0
0.9943107221006564,1.0
0.9938730853391685,1.0
0.9934354485776805,1.0
0.9929978118161925,1.0
0.9925601750547046,1.0
0.9921225382932166,1.0
0.9916849015317286,1.0
0.9912472647702407,1.0
0.9908096280087527,1.0
0.9903719912472647,1.0
0.9899343544857768,1.0
0.9894967177242888,1.0
0.9890590809628009,1.0
0.9886214442013129,1.0
0.9881838074398249,1.0
0.987746170678337,1.0
0.987308533916849,1.0
0.986870897155361,1.0
0.9864332603938731,1.0
0.9859956236323851,1.0
0.9855579868708971,1.0
0.9851203501094092,1.0
0.9846827133479212,1.0
0.9842450765864332,1.0
0.9838074398249453,1.0
0.9833698030634573,1.0
0.9829321663019693,1.0
0.9824945295404814,1.0
0.9820568927789934,1.0
0.9816192560175054,1.0
0.9811816192560175,1.0
0.9807439824945295,1.0
0.9803063457330415,1.0
0.9798687089715536,1.0
0.9794310722100656,1.0
0.9789934354485776,1.0
0.9785557986870898,1.0
0.9781181619256017,1.0
0.9776805251641137,1.0
0.9772428884026259,1.0
0.9768052516411379,1.0
0.9763676148796498,1.0
0.975929978118162,1.0
0.975492341356674,1.0
0.975054704595186,1.0
0.9746170678336981,1.0
0.9741794310722101,1.0
0.973741794310722,1.0
0.9733041575492342,1.0
0.9728665207877462,1.0
0.9724288840262582,1.0
0.9719912472647703,1.0
0.9715536105032823,1.0
0.9711159737417943,1.0
0.9706783369803064,1.0
0.9702407002188184,1.0
0.9698030634573304,1.0
0.9693654266958425,1.0
0.9689277899343545,1.0
0.9684901531728666,1.0
0.9680525164113786,1.0
0.9676148796498906,1.0
0.9671772428884027,1.0
0.9667396061269147,1.0
0.9663019693654267,1.0
0.9658643326039388,1.0
0.9654266958424508,1.0
0.9649890590809628,1.0
0.9645514223194749,1.0
0.9641137855579869,1.0
0.9636761487964989,1.0
0.963238512035011,1.0
0.962800875273523,1.0
0.962363238512035,1.0
0.9619256017505471,1.0
0.9614879649890591,1.0
0.9610503282275711,1.0
0.9606126914660832,1.0
0.9601750547045952,1.0
0.9597374179431072,1.0
0.9592997811816193,1.0
0.9588621444201313,1.0
0.9584245076586433,1.0
0.9579868708971554,1.0
0.9575492341356674,1.0
0.9571115973741794,1.0
0.9566739606126915,1.0
0.9562363238512035,1.0
0.9557986870897155,1.0
0.9553610503282276,1.0
0.9549234135667396,1.0
0.9544857768052516,1.0
0.9540481400437637,1.0
0.9536105032822757,1.0
0.9531728665207877,1.0
0.9527352297592998,1.0
0.9522975929978118,1.0
0.9518599562363238,1.0
