time_series,AUROC,AUPRC,Best_Threshold,Best_TPR,Best_FPR
MSL_C-1,0.6099324957668117,0.21806205809607976,0.0005713977834980706,0.8076923076923077,0.5507075471698113
MSL_C-2,0.6733862801898338,0.10898780573354466,3.0141110934671014e-06,0.8613138686131386,0.4734620024125452
MSL_D-14,0.35397600674731555,0.08314482664977516,5.096333767860952,0.1891891891891892,0.13646949231485794
MSL_D-15,0.5973010054422796,0.38381611268431837,0.020650382004663695,0.8081123244929798,0.6280729579698652
MSL_D-16,0.604557570189165,0.4261901123828026,0.2443927374073235,0.6666666666666666,0.4976635514018692
MSL_F-4,0.7308562197092083,0.07421004639736294,0.0001630905897134242,0.9014084507042254,0.535702746365105
MSL_F-5,0.6518478045839496,0.05664269435439195,6.145477290427992e-05,0.8741721854304636,0.5163584637268848
MSL_F-7,0.43342114150624783,0.07149629474756321,0.011160397119892342,0.8486997635933806,0.6358857142857143
MSL_F-8,0.6019503604572167,0.36268200538994405,0.6567060668948443,0.28677839851024206,0.089728453364817
MSL_M-1,0.49724324754999605,0.5676256167851397,0.36949911954716796,0.15425065731814197,0.10568181818181818
MSL_M-2,0.5905117122141663,0.6236766485503644,0.1456659717749132,0.5214723926380368,0.38181818181818183
MSL_M-3,0.37719000541045694,0.11858501153742027,0.34081952536347565,0.11952191235059761,0.09567901234567901
MSL_M-4,0.3468425449085435,0.11541411243683902,0.7028622497416706,0.043824701195219126,0.032658393207054215
MSL_M-5,0.49827227302652854,0.17724673390587176,0.48796842786255884,0.132890365448505,0.052691867124856816
MSL_M-6,0.5040134077293228,0.11394764511880723,0.43799545759540726,0.32044198895027626,0.1792803970223325
MSL_M-7,0.7138509292841457,0.33224978161330215,0.11556096763926643,0.8118811881188119,0.4546970539188438
MSL_P-10,0.9439005455616827,0.5861044166805456,1.1136936905354435,0.916030534351145,0.12340276562226501
MSL_P-11,0.6186266222751242,0.08363262804233618,0.00591577623156559,0.9692982456140351,0.6096361848574238
MSL_P-14,0.8635838139010324,0.5137928635748595,123.05597685382945,0.8011049723756906,0.11548649125904997
MSL_P-15,0.8226333573367307,0.42157770939374073,0.0186319804825817,0.9047619047619048,0.3559519193485847
MSL_S-2,0.6842074592074592,0.014353609057592118,0.4944708407431279,0.7272727272727273,0.28012820512820513
MSL_T-12,0.7884369980637085,0.22371550761194106,5.961119964426637e-06,0.9917355371900827,0.5470043838285436
MSL_T-13,0.8481083207658514,0.4441332547864826,4.522448178713796e-06,0.9801324503311258,0.3873762376237624
MSL_T-4,0.46353831540889173,0.03529491334133389,0.04320375961536486,0.7681159420289855,0.7029598308668076
MSL_T-5,0.6157620788302607,0.019513249572603593,0.08199996481951587,0.9615384615384616,0.5841942148760331
MSL_T-8,0.44148891253314415,0.067866808812676,0.489537275760076,0.5,0.4263565891472868
