FPR,TPR,Threshold
0.0,0.0,inf
0.0005165289256198347,0.0,2.2814765139710165
0.014462809917355372,0.0,0.87079260805481
0.014462809917355372,0.038461538461538464,0.870005377561922
0.014979338842975207,0.038461538461538464,0.8699680090691878
0.014979338842975207,0.07692307692307693,0.8697325029351972
0.16993801652892562,0.07692307692307693,0.339700873205225
0.16993801652892562,0.11538461538461539,0.33879929575736395
0.18801652892561985,0.11538461538461539,0.3178498544296319
0.18801652892561985,0.15384615384615385,0.31773427261635706
0.18956611570247933,0.15384615384615385,0.31761155286059295
0.18956611570247933,0.23076923076923078,0.31753121857495126
0.22830578512396693,0.23076923076923078,0.2829275510778294
0.22830578512396693,0.3076923076923077,0.28267608950888196
0.22882231404958678,0.3076923076923077,0.2825673496451515
0.22882231404958678,0.34615384615384615,0.2825480416446653
0.25,0.34615384615384615,0.2669404058072642
0.25,0.38461538461538464,0.2669203895139468
0.4375,0.38461538461538464,0.13281977594587438
0.4375,0.4230769230769231,0.13281961137126674
0.4380165289256198,0.4230769230769231,0.13280229217356568
0.4380165289256198,0.5,0.13279556034823384
0.4390495867768595,0.5,0.13276039339672518
0.4390495867768595,0.5384615384615384,0.13275351571005006
0.47365702479338845,0.5384615384615384,0.11896323920135907
0.47365702479338845,0.6153846153846154,0.11734581626799118
0.5216942148760331,0.6153846153846154,0.10791793356974134
0.5216942148760331,0.6538461538461539,0.10763295320828746
0.5278925619834711,0.6538461538461539,0.10322936316714314
0.5278925619834711,0.6923076923076923,0.10205871053014719
0.5351239669421488,0.6923076923076923,0.09960063029009059
0.5351239669421488,0.7307692307692307,0.09909433948798231
0.5366735537190083,0.7307692307692307,0.0977616312547492
0.5366735537190083,0.7692307692307693,0.09773688466329924
0.5371900826446281,0.7692307692307693,0.09762205274346925
0.5371900826446281,0.8076923076923077,0.09756315640643144
0.5640495867768595,0.8076923076923077,0.08782513519290554
0.5640495867768595,0.8461538461538461,0.08544562073389113
0.5743801652892562,0.8461538461538461,0.08214076982300714
0.5743801652892562,0.8846153846153846,0.08213666034428538
0.5841942148760331,0.8846153846153846,0.08202130135260143
0.5841942148760331,0.9615384615384616,0.08199996481951587
0.6229338842975206,0.9615384615384616,0.0721826786230831
0.6229338842975206,1.0,0.0673242618298965
0.9953512396694215,1.0,9.934783253992303e-07
1.0,1.0,0.0
