FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.00625,71.24763711555617
0.0,0.05,1.107573376323707
0.0004033884630899556,0.05,0.911905406041401
0.0004033884630899556,0.05625,0.6771252458805991
0.0008067769261799112,0.05625,0.6660328617068455
0.0008067769261799112,0.08125,0.6163194635915195
0.0012101653892698668,0.08125,0.5727198324346867
0.0012101653892698668,0.0875,0.5675093451308891
0.003630496167809601,0.0875,0.5055790231643902
0.003630496167809601,0.10625,0.49295742739490417
0.004840661557079467,0.10625,0.48107661059537205
0.004840661557079467,0.1125,0.48097987713521206
0.012101653892698669,0.1125,0.42683881079112596
0.012101653892698669,0.11875,0.4263978896366944
0.01653892698668818,0.11875,0.4040857086168906
0.01653892698668818,0.125,0.40373129021473747
0.01936264622831787,0.125,0.39037971697228985
0.01936264622831787,0.13125,0.38837818497138277
0.019766034691407825,0.13125,0.3862153055063457
0.019766034691407825,0.1375,0.3840545367486684
0.020572811617587738,0.1375,0.37896754086191203
0.020572811617587738,0.14375,0.37858991284351007
0.021782977006857603,0.14375,0.3767626810634603
0.021782977006857603,0.15,0.37401979995216367
0.022589753933037516,0.15,0.37219329421077235
0.022589753933037516,0.15625,0.3696378263726569
0.02864058087938685,0.15625,0.35307416531333596
0.02864058087938685,0.1625,0.35223297030078116
0.035498184751916094,0.1625,0.34059888646043096
0.035498184751916094,0.16875,0.34006975355570535
0.042759177087535294,0.16875,0.32354781602266375
0.042759177087535294,0.175,0.3214831351314632
0.043162565550625254,0.175,0.3214712732795559
0.043162565550625254,0.18125,0.3208826162423962
0.04477611940298507,0.18125,0.31940721469831823
0.04477611940298507,0.1875,0.3188778722422717
0.0463896732553449,0.1875,0.31705475045984644
0.0463896732553449,0.19375,0.3169685645253001
0.0500201694231545,0.19375,0.3130727184958216
0.0500201694231545,0.2,0.3127415683542064
0.05445744251714401,0.2,0.3061417053097295
0.05445744251714401,0.20625,0.3058371255376993
0.06292860024203308,0.20625,0.2935044047689571
0.06292860024203308,0.2125,0.2933500776744406
0.0681726502622025,0.2125,0.2868275765833891
0.0681726502622025,0.21875,0.2862885462984671
0.07664380798709157,0.21875,0.2759553612668045
0.07664380798709157,0.225,0.27532441120844064
0.09156918112141993,0.225,0.2611644325260995
0.09156918112141993,0.23125,0.2602813377450504
0.09842678499394918,0.23125,0.2541031029632267
0.09842678499394918,0.2375,0.2541025359943284
0.10609116579265833,0.2375,0.24726165979933548
0.10609116579265833,0.24375,0.2469077516132517
0.11254538120209762,0.24375,0.2414617876998598
0.11254538120209762,0.25,0.24139058550649567
0.1399757966922146,0.25,0.22102879685397703
0.1399757966922146,0.25625,0.2209114434727007
0.14320290439693426,0.25625,0.21728250226852705
0.14320290439693426,0.2625,0.21728076498707988
0.15611133521581283,0.2625,0.20916051525349094
0.15611133521581283,0.26875,0.20808456847229678
0.16256555062525213,0.26875,0.20525220842527578
0.16256555062525213,0.275,0.20503490075958256
0.17950786607503025,0.275,0.19612064665182233
0.17950786607503025,0.28125,0.1960415785379287
0.1863654699475595,0.28125,0.1933210474195473
0.1863654699475595,0.2875,0.19267785563303103
0.21137555465913674,0.2875,0.18066397583432775
0.21137555465913674,0.29375,0.18063143030456347
0.23436869705526422,0.29375,0.1708463652631112
0.23436869705526422,0.3,0.17074778340459046
0.236385639370714,0.3,0.16845809275395768
0.236385639370714,0.30625,0.16819143221958305
0.25010084711577246,0.30625,0.16112948889398956
0.25010084711577246,0.3125,0.16099843083743975
0.28600242033077855,0.3125,0.14464123059990425
0.28600242033077855,0.31875,0.14463194200039828
0.2944735780556676,0.31875,0.14172423050846467
0.2944735780556676,0.325,0.14153745942289964
0.31585316659943524,0.325,0.13182978567578268
0.31585316659943524,0.33125,0.13181852639825892
0.32029043969342474,0.33125,0.1305856393807315
0.32029043969342474,0.3375,0.13054061486912988
0.3719241629689391,0.3375,0.11351852872760007
0.3719241629689391,0.34375,0.11351247739777773
0.3937071399757967,0.34375,0.10542393104976584
0.3937071399757967,0.35,0.10536951147186116
0.4058087938684954,0.35,0.10225247590555546
0.4058087938684954,0.35625,0.1021676353061766
0.42315449778136344,0.35625,0.09638125955242265
0.42315449778136344,0.3625,0.0961048589014395
0.42597821702299316,0.3625,0.0956418470192271
0.42597821702299316,0.36875,0.09557674904584572
0.44332392093586126,0.36875,0.09219007702018465
0.44332392093586126,0.375,0.09216002160435192
0.4574425171440097,0.375,0.08823609801717301
0.4574425171440097,0.38125,0.08801097271192515
0.4663170633319887,0.38125,0.08581591816696871
0.4663170633319887,0.3875,0.08580963848654724
0.4901169826542961,0.3875,0.07959008876898768
0.4901169826542961,0.39375,0.079445741817029
0.49213392496974584,0.39375,0.07867765820046672
0.49213392496974584,0.4125,0.07851558369007636
0.49415086728519564,0.4125,0.07806541296632694
0.49415086728519564,0.41875,0.0779305905892603
0.49939491730536506,0.41875,0.07680352197467308
0.49939491730536506,0.425,0.0767833105683824
0.5167406212182332,0.425,0.07155154329268017
0.5167406212182332,0.43125,0.07151745649312853
0.517950786607503,0.43125,0.07106648445354062
0.517950786607503,0.4375,0.07105600743748337
0.518757563533683,0.4375,0.07078138350604929
0.518757563533683,0.44375,0.07055943865583728
0.5244050020169423,0.44375,0.0691612058212225
0.5244050020169423,0.45,0.06910606912008313
0.5381202097620008,0.45,0.06550697649696244
0.5381202097620008,0.45625,0.06549040529901452
0.5522388059701493,0.45625,0.061810333952580045
0.5522388059701493,0.4625,0.061679771844848276
0.553852359822509,0.4625,0.06112267091212237
0.553852359822509,0.46875,0.06109617733031113
0.5570794675272287,0.46875,0.06044171116661075
0.5570794675272287,0.475,0.060402618271060846
0.5599031867688584,0.475,0.05921923413299549
0.5599031867688584,0.48125,0.05857414218520172
0.5631302944735781,0.48125,0.05780440300446958
0.5631302944735781,0.4875,0.05772966951625741
0.5703912868091973,0.4875,0.05600282715339248
0.5703912868091973,0.49375,0.055843002099652116
0.5861234368697055,0.49375,0.05161951692188245
0.5861234368697055,0.5,0.05133207307004264
0.6062928600242034,0.5,0.0461952770565663
0.6062928600242034,0.50625,0.046183759384420806
0.6183945139169019,0.50625,0.043421015258548565
0.6183945139169019,0.5125,0.04328372265310178
0.6220250100847116,0.5125,0.04261428898624346
0.6220250100847116,0.51875,0.04260762711356587
0.6405808793868495,0.51875,0.039349460547618176
0.6405808793868495,0.525,0.03932211792629048
0.6518757563533683,0.525,0.03770511556084201
0.6518757563533683,0.53125,0.03768935630926507
0.6740621218233158,0.53125,0.03334791961279378
0.6740621218233158,0.5375,0.033265660247306095
0.6881807180314643,0.5375,0.03157582006639455
0.6881807180314643,0.54375,0.03150957563914024
0.691004437273094,0.54375,0.031355859361839905
0.691004437273094,0.55,0.03127615604393309
0.691407825736184,0.55,0.031203843531587477
0.691407825736184,0.55625,0.031151807914210072
0.6954417103670835,0.55625,0.03015933390362982
0.6954417103670835,0.5625,0.030158430409862564
0.7022993142396128,0.5625,0.029399842287892358
0.7022993142396128,0.56875,0.02934704844383377
0.7164179104477612,0.56875,0.02752428921392896
0.7164179104477612,0.575,0.027460725798807283
0.7232755143202905,0.575,0.026329678951739856
0.7232755143202905,0.58125,0.025992556957619754
0.7329568374344494,0.58125,0.024547349700937825
0.7329568374344494,0.5875,0.024359666463041697
0.7369907220653489,0.5875,0.023545942894840688
0.7369907220653489,0.59375,0.023495505507858578
0.754336425978217,0.59375,0.021357273427074917
0.754336425978217,0.6,0.021229282725417374
0.7615974183138362,0.6,0.02015450832970775
0.7615974183138362,0.60625,0.020095172847359975
0.7652279144816458,0.60625,0.019616786382147994
0.7652279144816458,0.6125,0.019609286624731572
0.7668414683340057,0.6125,0.01928336895683786
0.7668414683340057,0.61875,0.019272449511019005
0.7736990722065349,0.61875,0.018398964204571662
0.7736990722065349,0.625,0.018330383810946035
0.7829770068576039,0.625,0.01734202476845375
0.7829770068576039,0.6375,0.017285399231926006
0.7870108914885035,0.6375,0.01685574729810306
0.7870108914885035,0.64375,0.01683768617256788
0.8019362646228317,0.64375,0.014779107659675661
0.8019362646228317,0.65,0.014779037070279513
0.8023396530859217,0.65,0.014755722295004131
0.8023396530859217,0.65625,0.014753931282632549
0.8079870915691811,0.65625,0.014093741911848501
0.8079870915691811,0.6625,0.01396921779009247
0.8083904800322711,0.6625,0.013944347973407161
0.8083904800322711,0.66875,0.013926321190034624
0.8196853569987899,0.66875,0.012692715330106777
0.8196853569987899,0.675,0.012681871704818775
0.8221056877773296,0.675,0.012506210540414123
0.8221056877773296,0.6875,0.012433938935901624
0.8329971762807584,0.6875,0.011500938891334463
0.8329971762807584,0.69375,0.011472952656899476
0.8334005647438483,0.69375,0.011472345631609452
0.8334005647438483,0.7,0.01146092490906774
0.8491327148043566,0.7,0.010131317187640073
0.8491327148043566,0.70625,0.010124824168131727
0.8624445340863252,0.70625,0.008970946095718824
0.8624445340863252,0.7125,0.008964791400730024
0.8632513110125051,0.7125,0.00889199320177696
0.8632513110125051,0.725,0.00878896521284325
0.8693021379588544,0.725,0.008436107733145416
0.8693021379588544,0.73125,0.008399361789872757
0.8874546187979023,0.73125,0.0069008921908124314
0.8874546187979023,0.7375,0.006880674068682931
0.891085114965712,0.7375,0.006645683011111498
0.891085114965712,0.74375,0.006638173823068616
0.8914885034288019,0.74375,0.006626846976976099
0.8914885034288019,0.75625,0.0065263782854013295
0.8967325534489714,0.75625,0.0061416843652347935
0.8967325534489714,0.7625,0.0060807394410170214
0.9035901573215006,0.7625,0.005750436980413011
0.9035901573215006,0.76875,0.005629461542284839
0.90883420734167,0.76875,0.005091103403168451
0.90883420734167,0.775,0.005056599221945986
0.9140782573618395,0.775,0.004686421609165396
0.9140782573618395,0.8,0.004617318482074017
0.9197256958450988,0.8,0.004326250238811072
0.9197256958450988,0.80625,0.004321449861408036
0.9233561920129084,0.80625,0.004121525261964207
